lambda_reg,sigma,MAE,RMSE,R2_test
0.01,0.5,23.01318300063913,24.08012525600564,-10.587981865868347
0.01,1.0,15.354384187577857,17.196808835824065,-4.90998053849167
0.01,2.0,1.7126848862334978,2.916579788500763,0.8300042564626692
0.01,5.0,0.7835925434453653,1.1181056039273736,0.9750163451226024
0.1,0.5,23.01359626287741,24.08179102388145,-10.58958514287635
0.1,1.0,15.649337548515813,17.450552721298514,-5.085674193418996
0.1,2.0,1.7689979718747202,3.007905731021352,0.8191915321787528
0.1,5.0,0.7568759018035982,1.1222229431748485,0.9748320055023094
1.0,0.5,23.030440468204645,24.09287621632189,-10.600257301804612
1.0,1.0,17.68577731196548,19.180508468694324,-6.352085612304983
1.0,2.0,2.2198906526070017,3.6479791499868313,0.7340530472163852
1.0,5.0,0.9086255265288605,1.344114915623068,0.9638953512210533
10.0,0.5,23.047948533924455,24.10864653516971,-10.61544848342795
10.0,1.0,21.589173134274397,22.67658426352781,-9.276508831623824
10.0,2.0,3.952833023909358,5.883415334213425,0.30824972605351875
10.0,5.0,1.3471437096317809,2.0398116805462942,0.916848426417871
